,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
381,0,70,7.0,1,0,1,7,0.165,0,0,0,0,0,52,0,1
382,0,86,2.5,2,2,6,0,4.5,0,0,0,0,0,67,456,1
383,0,313,4.25,2,2,5,2,5.0,0,0,0,1,0,0,4,1
384,1,63,11.46,1,0,8,7,1.585,0,0,0,1,0,31,1212,1
385,1,183,5.5,2,2,1,7,1.5,0,0,0,1,0,17,0,1
386,1,69,1.5,2,2,0,7,0.54,0,0,0,1,0,37,67,1
387,1,52,0.0,1,0,1,7,0.5,0,0,0,1,2,0,0,1
388,1,111,14.585,1,0,6,0,0.0,0,0,0,1,0,61,0,1
389,1,73,0.17,1,0,9,7,0.085,0,0,0,0,2,0,0,1
390,1,1,7.0,1,0,4,7,1.0,0,0,0,0,0,155,0,1
391,1,231,5.0,1,0,6,0,0.21,0,0,0,0,0,152,0,1
392,1,119,12.5,1,0,0,0,0.25,0,0,0,1,0,159,0,1
393,1,90,0.54,1,0,9,7,1.0,0,0,0,1,0,37,1,1
394,1,239,1.25,2,2,12,7,0.25,0,0,0,0,0,0,195,1
395,0,175,1.625,1,0,3,7,0.54,0,0,0,1,0,0,0,1
396,1,141,2.04,2,2,13,3,0.04,0,0,0,0,0,39,1,1
397,0,81,0.585,2,2,5,2,0.125,0,0,0,0,0,37,87,1
398,1,107,12.5,2,2,8,3,1.25,0,0,0,1,0,0,17,1
399,1,154,2.085,1,0,1,7,0.085,0,0,0,0,0,98,0,1
400,1,48,5.085,2,2,7,7,0.29,0,0,0,0,0,44,184,1
401,1,134,0.375,1,0,1,7,0.29,0,0,0,0,0,75,140,1
402,0,294,6.5,1,0,6,0,3.085,0,0,0,1,0,20,0,1
403,0,70,0.335,1,0,10,7,0.75,0,0,0,0,2,52,0,1
404,1,183,5.085,2,2,6,0,1.085,0,0,0,1,0,143,0,1
405,0,336,6.0,1,0,5,2,0.0,0,0,0,0,2,0,0,1
407,0,37,0.665,2,2,1,7,1.0,0,1,1,0,0,163,2,1
408,1,5,3.125,1,0,12,7,0.085,0,1,1,0,0,0,6,1
409,1,12,0.25,1,0,10,7,0.335,0,1,4,0,0,52,8,1
410,1,156,2.835,1,0,5,2,0.0,0,1,5,0,0,60,146,1
411,1,95,3.0,1,0,1,7,1.25,0,1,1,0,0,0,22,1
412,0,70,0.79,1,0,6,7,0.085,0,0,0,0,0,46,0,1
413,1,235,1.5,1,0,6,0,0.0,0,0,0,0,2,98,0,1
414,1,65,0.46,1,0,8,7,0.125,0,0,0,1,0,94,55,1
415,0,65,1.25,2,2,5,2,3.25,0,0,0,0,0,94,0,1
416,1,68,0.125,2,2,8,7,0.125,0,0,0,0,0,67,70,1
417,1,81,1.79,1,0,1,7,0.54,0,0,0,1,0,43,1,1
418,1,217,0.705,1,0,1,7,0.375,0,1,2,0,0,78,500,1
419,0,110,2.54,2,2,5,2,0.0,0,0,0,1,0,62,60,1
420,1,193,2.5,1,0,6,7,1.0,0,0,0,1,0,71,0,1
421,1,45,1.085,1,0,10,7,1.5,0,0,0,0,0,33,7,1
422,1,137,1.25,1,0,12,7,1.75,0,0,0,0,0,67,0,1
423,1,107,0.835,1,0,2,7,1.165,0,0,0,0,0,31,0,1
424,1,180,2.165,1,0,1,7,1.5,0,0,0,0,1,37,0,1
425,1,89,1.25,1,0,1,7,0.25,0,0,0,0,0,34,0,1
426,0,121,2.04,1,0,12,7,0.25,0,0,0,1,0,62,50,1
427,1,212,0.835,1,0,4,7,0.04,0,0,0,0,0,37,5,1
428,1,283,2.29,1,0,5,2,0.29,0,0,0,0,0,67,3,1
429,1,179,0.335,2,2,2,7,0.085,0,0,0,0,0,62,0,1
430,1,293,3.0,2,2,5,2,1.5,0,0,0,0,0,62,4,1
431,1,73,3.165,2,2,1,7,0.165,0,0,0,0,0,52,1058,1
432,1,60,1.54,1,0,8,7,0.085,0,0,0,1,0,112,0,1
433,1,96,1.0,1,0,0,7,0.5,0,0,0,0,0,67,0,1
434,1,320,2.71,1,0,1,7,2.415,0,0,0,1,0,103,0,1
435,1,32,0.0,2,2,5,2,0.0,0,1,4,0,0,12,1,1
436,1,37,0.585,1,0,5,2,0.0,0,1,3,0,0,110,769,1
437,0,300,0.165,1,0,5,2,0.0,0,0,0,1,2,18,27,1
438,0,116,1.25,1,0,5,2,0.0,0,1,1,0,0,26,300,1
439,1,104,0.875,1,0,8,7,0.375,0,1,2,1,0,59,3,1
440,1,75,0.0,1,0,8,7,1.0,0,1,11,0,2,0,0,1
441,1,229,5.0,1,0,5,2,0.0,0,1,2,0,0,1,1,1
442,1,150,2.71,2,2,9,7,0.125,0,0,0,1,2,23,0,1
443,1,13,3.0,1,0,8,7,0.04,0,0,0,1,0,52,40,1
444,0,18,0.0,2,2,7,2,0.0,0,0,0,0,0,24,0,1
446,1,10,0.125,1,0,1,7,0.165,0,0,0,0,0,42,0,1
447,0,118,1.665,1,0,5,2,0.0,0,0,0,0,0,107,1,1
448,1,156,1.125,1,0,5,2,0.0,0,1,1,0,0,29,19,1
449,1,40,7.0,1,0,1,7,0.5,0,0,0,0,0,0,0,1
451,1,228,1.625,1,0,1,7,1.5,0,0,0,0,0,0,316,1
452,1,205,4.25,1,0,10,7,3.5,0,0,0,0,0,138,50,1
454,1,297,1.5,1,0,3,7,3.75,0,0,0,1,0,0,350,1
455,1,201,18.125,1,0,12,7,0.085,0,0,0,0,0,103,3552,1
457,1,140,0.75,2,2,1,7,0.04,0,0,0,0,0,84,0,1
458,1,201,5.5,1,0,6,0,5.0,0,0,0,0,0,71,687,1
459,1,101,0.29,2,2,1,7,1.5,0,0,0,1,0,52,0,1
460,0,88,2.415,2,2,1,7,0.0,0,0,0,0,0,37,0,1
461,1,84,0.875,1,0,9,7,0.085,0,1,4,0,0,88,1950,1
462,1,61,0.5,1,0,1,7,0.125,0,0,0,0,0,113,0,1
463,0,206,0.29,1,0,5,2,0.0,0,1,10,0,0,67,18,1
464,0,74,1.835,1,0,7,4,0.0,0,1,1,0,0,67,53,1
465,0,120,3.0,1,0,9,7,2.79,0,1,1,1,0,94,10,1
466,1,155,3.085,1,0,1,7,2.5,0,1,2,1,0,52,41,1
467,0,148,1.375,1,0,12,3,0.04,0,1,3,0,0,0,33,1
468,1,63,2.335,1,0,8,7,0.75,0,0,0,0,0,62,0,1
469,1,9,4.085,1,0,6,3,0.415,0,0,0,1,0,37,0,1
470,0,61,11.665,1,0,8,3,0.085,0,0,0,0,0,103,5,1
471,1,51,4.125,2,2,6,3,0.04,0,0,0,0,0,44,100,1
472,1,15,6.5,1,0,6,7,0.125,0,0,0,0,0,17,100,1
473,1,33,4.0,2,2,6,7,1.0,0,0,0,1,0,113,1000,1
474,1,47,0.415,1,0,1,7,0.125,0,0,0,0,0,0,44,1
475,1,112,2.0,1,0,3,7,0.75,0,0,0,1,0,23,0,1
476,1,81,0.835,1,0,6,3,0.085,0,0,0,1,0,75,5,1
477,1,224,2.5,2,2,6,3,10.0,0,0,0,1,2,67,0,1
478,1,71,11.5,1,0,6,7,0.415,0,0,0,0,0,0,0,1
480,0,11,0.5,1,0,6,7,0.165,0,1,6,1,0,84,35,1
481,1,80,3.165,2,2,8,7,0.415,0,1,1,1,0,94,80,1
482,0,14,9.5,1,0,0,7,1.75,0,1,10,1,0,0,10,1
483,1,82,0.415,2,2,1,7,0.04,0,1,2,0,0,39,6,1
484,1,189,1.08,1,0,9,7,1.165,0,0,0,0,2,6,0,1
485,1,338,19.0,2,2,5,2,0.04,0,1,2,0,0,0,351,1
486,1,126,0.125,2,2,8,7,0.085,0,0,0,0,0,74,2100,1
487,1,88,13.335,2,2,0,7,0.04,0,0,0,1,0,37,475,1
488,1,30,3.54,2,2,5,2,0.0,0,0,0,1,0,62,1,1
490,0,269,0.75,1,0,10,3,2.75,1,1,1,0,0,106,892,0
491,1,85,0.875,1,0,10,7,4.625,1,1,2,1,0,150,2000,0
492,1,225,9.5,1,0,9,7,6.5,1,1,14,0,0,84,4607,0
493,0,46,11.835,1,0,1,3,6.0,1,0,0,0,0,107,0,0
494,0,30,4.415,2,2,1,3,3.0,1,0,0,0,0,84,0,0
495,1,33,9.5,1,0,12,7,1.5,1,0,0,0,0,37,2206,0
496,0,93,0.875,1,0,13,3,1.04,1,0,0,1,0,52,5860,0
497,1,42,9.25,1,0,1,7,1.665,1,1,3,1,0,10,28,0
498,1,102,0.5,1,0,1,7,1.46,1,1,5,1,0,102,0,0
499,1,45,7.0,1,0,1,7,1.625,1,1,3,0,0,67,1391,0
501,1,222,5.0,1,0,2,7,3.5,1,1,10,1,0,0,0,0
502,0,330,0.165,1,0,5,2,0.0,1,1,1,0,0,82,100,0
503,1,127,5.125,1,0,13,7,4.75,1,1,2,0,0,130,7,0
504,0,133,3.75,1,0,1,7,1.085,1,1,1,1,0,117,0,0
505,1,157,19.5,1,0,1,7,7.0,1,1,16,0,0,0,5000,0
506,0,31,9.0,1,0,0,7,0.75,1,1,2,0,0,25,591,0
507,0,90,3.0,1,0,10,3,1.835,1,1,19,0,0,0,500,0
508,0,151,12.0,1,0,1,7,2.0,1,1,1,0,0,75,19,0
509,1,50,4.79,2,2,12,7,2.25,1,1,1,1,0,23,300,0
510,1,0,4.0,2,2,12,7,1.75,1,1,2,1,0,37,1000,0
511,0,264,4.0,1,0,7,4,0.0,1,0,0,0,0,31,960,0
512,0,259,0.0,1,0,1,7,2.5,1,0,0,0,0,0,0,0
513,1,43,9.96,1,0,4,1,0.0,1,0,0,0,0,0,0,0
514,1,70,2.54,2,2,1,3,2.585,1,0,0,0,0,0,0,0
516,0,326,5.0,1,0,0,7,4.0,1,1,4,0,0,0,99,0
517,1,6,0.75,1,0,1,7,1.75,1,1,5,1,0,111,690,0
518,0,126,0.375,1,0,10,7,0.585,1,1,4,0,0,23,0,0
519,1,224,1.71,1,0,13,7,0.125,1,1,5,1,0,143,0,0
521,0,143,5.29,1,0,4,1,2.25,1,1,5,1,0,30,500,0
522,1,72,3.0,1,0,9,7,1.29,1,1,1,0,0,89,800,0
523,0,68,8.5,1,0,10,7,1.75,1,1,10,0,0,23,990,1
524,0,131,1.665,1,0,10,7,2.415,1,0,0,1,0,135,0,1
525,1,262,1.5,1,0,1,7,2.5,1,0,0,1,0,44,0,1
526,1,243,1.75,1,0,8,7,0.21,1,0,0,0,0,52,0,1
527,0,314,0.335,1,0,6,0,1.0,1,0,0,1,0,86,2197,1
528,0,306,7.08,1,0,8,3,6.75,1,1,3,1,0,31,50,1
529,1,255,25.21,1,0,10,3,0.21,1,1,1,0,0,160,90,1
530,0,97,2.085,1,0,1,3,2.75,1,0,0,1,0,113,1,1
531,0,89,0.67,1,0,0,3,1.75,1,0,0,0,0,126,0,1
532,1,254,2.25,1,0,6,0,0.75,1,0,0,0,0,153,0,1
533,1,237,0.835,1,0,5,2,0.0,1,0,0,0,0,41,1,1
534,1,162,2.5,1,0,0,7,7.5,1,0,0,1,0,151,0,1
535,0,182,1.585,2,2,5,2,0.0,1,0,0,0,0,103,0,1
536,0,92,1.25,1,0,5,2,0.0,1,0,0,0,0,23,0,1
537,1,195,3.165,1,0,13,3,3.75,1,0,0,1,0,157,0,1
538,1,186,1.75,1,0,12,0,0.25,1,0,0,1,0,53,0,1
540,1,35,1.5,2,2,2,7,2.0,1,0,0,1,0,31,20,1
541,1,250,3.0,1,0,6,0,1.0,1,0,0,0,0,0,200,1
542,1,38,10.0,2,2,8,3,0.835,1,0,0,1,0,44,0,1
543,1,203,3.79,1,0,12,7,1.165,1,0,0,1,0,67,0,1
544,1,144,1.04,2,2,6,0,0.5,1,1,10,1,0,42,28,1
545,1,258,11.0,2,2,3,7,1.5,1,0,0,0,2,0,0,1
546,1,81,0.46,2,2,12,7,2.625,1,1,6,1,0,70,347,1
547,1,83,1.5,1,0,3,3,1.875,1,1,6,0,0,67,327,0
548,1,176,1.0,1,0,13,7,0.75,1,1,7,1,0,107,4071,0
549,1,278,12.0,1,0,9,7,16.0,1,0,0,0,2,34,0,0
550,1,339,22.29,1,0,4,8,12.75,1,1,1,1,0,0,109,0
551,1,290,10.0,1,0,6,0,0.0,1,1,11,0,0,0,1249,0
552,1,190,15.0,1,0,11,5,5.375,1,1,9,1,0,0,134,0
553,1,218,3.335,1,0,12,7,4.0,1,1,14,0,0,121,1344,0
554,0,67,11.25,2,2,13,3,0.75,1,1,4,0,0,0,321,0
555,1,245,0.42,1,0,1,3,0.21,1,1,6,0,0,75,948,0
556,1,139,4.5,1,0,12,7,7.5,1,1,2,1,0,105,0,0
557,0,166,1.46,1,0,12,7,1.085,1,1,16,0,0,37,2079,0
558,1,291,0.04,1,0,13,3,0.04,1,0,0,0,0,0,3000,0
559,0,72,2.29,1,0,10,3,2.29,1,1,7,1,0,44,2384,0
560,0,93,12.33,1,0,2,3,3.5,1,1,6,0,0,126,458,0
561,1,112,1.125,1,0,13,3,1.25,1,0,0,0,0,0,5298,0
562,1,78,1.5,1,0,1,3,1.415,1,0,0,0,0,131,200,0
563,1,87,12.335,1,0,10,3,1.585,1,0,0,1,0,37,0,0
564,1,248,5.04,1,0,10,3,12.75,1,0,0,1,0,26,0,0
565,0,49,3.0,1,0,0,7,0.04,1,0,0,0,0,31,0,0
566,1,75,11.5,1,0,12,3,2.125,1,1,11,1,0,96,284,0
567,0,95,2.875,1,0,13,3,0.875,1,0,0,0,0,113,0,0
568,1,253,0.375,2,2,1,7,0.375,1,1,8,1,0,98,162,0
569,0,198,0.915,1,0,0,7,0.75,1,1,4,0,0,0,1583,0
570,1,322,2.75,1,0,12,7,1.75,1,1,5,1,0,17,58,0
571,1,50,3.0,2,2,3,7,1.085,1,1,8,1,0,52,1,0
572,1,61,0.54,2,2,13,7,0.04,1,1,1,1,0,161,59,0
573,0,331,14.0,1,0,5,2,0.0,1,1,11,1,0,0,1400,0
574,0,44,10.0,1,0,1,3,1.0,1,1,4,0,0,14,1465,0
575,1,167,0.165,2,2,1,3,3.25,1,1,1,1,0,133,8000,0
576,1,145,0.5,1,0,1,7,1.75,1,1,11,0,0,9,540,0
577,1,95,6.0,1,0,1,7,1.0,1,1,3,0,0,0,0,0
578,1,224,1.625,1,0,1,7,1.5,1,1,10,0,0,64,4700,0
579,1,223,6.0,1,0,9,7,1.29,1,1,5,1,0,33,1097,0
580,1,160,0.83,1,0,13,7,1.335,1,1,8,1,0,99,3290,0
581,1,238,0.04,1,0,4,7,0.04,0,1,1,0,2,153,0,0
582,1,279,4.25,1,0,9,7,0.125,1,0,0,1,0,78,0,0
583,1,170,9.0,2,2,12,3,5.25,1,0,0,1,0,50,0,0
584,0,125,15.0,2,2,4,8,0.0,1,0,0,0,0,0,13212,0
585,1,337,17.75,1,0,5,2,0.0,1,0,0,1,0,0,0,0
586,1,330,20.0,1,0,13,3,17.5,1,1,9,1,0,0,1000,0
587,1,292,15.0,1,0,1,7,8.5,1,1,9,0,0,0,0,0
588,1,111,1.75,2,2,1,7,1.0,1,1,5,1,0,52,5777,0
589,1,97,0.58,1,0,1,7,0.29,1,1,7,1,0,29,5124,0
590,1,145,6.5,1,0,2,7,3.125,1,1,8,0,0,105,1200,0
591,1,115,0.75,1,0,1,3,4.25,1,1,3,1,0,102,150,0
593,1,185,5.25,1,0,12,7,0.085,0,0,0,1,0,96,6,0
594,1,219,0.21,1,0,8,7,0.085,1,0,0,1,0,94,0,0
595,1,102,0.75,1,0,1,0,0.25,1,0,0,0,0,109,23,0
596,0,265,3.0,1,0,1,7,2.375,1,1,8,1,0,124,4159,0
597,0,56,6.0,1,0,0,7,2.5,1,1,3,0,0,23,918,0
599,1,46,2.415,1,0,1,7,2.0,1,1,11,1,0,67,3000,0
600,0,138,0.46,1,0,8,7,0.54,1,1,4,0,0,119,500,0
602,1,141,1.25,2,2,8,7,0.25,0,0,0,0,0,77,0,1
603,1,41,0.25,1,0,10,7,0.125,0,0,0,0,0,67,0,1
604,1,79,0.585,1,0,1,3,0.085,1,0,0,0,0,62,0,1
605,0,139,1.75,2,2,8,7,1.25,0,0,0,1,0,94,0,1
606,1,7,0.04,1,0,1,7,0.04,0,0,0,0,0,0,0,0
607,1,168,3.5,1,0,8,7,0.5,0,0,0,1,0,82,0,1
609,1,274,4.165,1,0,13,0,0.085,0,0,0,1,0,150,0,1
610,1,40,1.25,2,2,8,7,0.125,0,0,0,0,0,44,4,1
611,1,120,3.25,2,2,10,3,5.085,0,1,2,1,0,115,1,1
612,1,62,0.79,1,0,12,7,0.29,0,1,1,0,0,130,283,1
613,1,34,10.915,1,0,1,0,0.585,0,1,2,1,0,67,7,1
614,0,216,4.415,1,0,1,7,0.125,0,0,0,0,0,52,0,1
615,1,137,1.25,1,0,1,3,0.25,0,1,2,1,0,126,108,1
616,1,70,0.75,1,0,6,7,1.585,0,1,1,1,0,126,9,1
617,1,167,14.0,2,2,5,2,0.0,0,1,2,0,0,52,1,1
618,1,139,4.75,1,0,9,7,2.0,0,1,1,1,0,140,68,1
619,1,26,10.415,2,2,0,7,0.125,1,0,0,0,0,37,375,1
620,1,64,2.25,1,0,6,7,0.125,0,0,0,0,0,52,10,1
621,1,70,0.165,1,0,1,4,2.25,0,0,0,1,2,0,0,0
623,1,30,0.0,1,0,10,7,0.665,0,0,0,0,0,52,1,1
624,1,57,0.79,2,2,2,7,0.665,0,0,0,0,0,52,0,1
625,1,82,12.0,1,0,1,7,2.085,0,0,0,0,2,23,0,1
627,1,200,2.54,1,0,5,2,0.0,0,0,0,0,0,0,1000,1
628,1,136,13.0,1,0,3,3,0.5,0,0,0,0,0,79,0,1
629,0,37,0.665,1,0,12,7,1.665,0,0,0,0,0,75,5,1
630,0,73,1.25,1,0,10,7,0.25,0,0,0,1,0,37,809,1
631,0,117,0.29,1,0,9,3,0.125,0,1,1,1,0,91,108,1
632,0,220,1.5,1,0,5,2,0.0,0,0,0,0,0,22,0,1
633,1,169,2.165,2,2,8,2,0.0,0,0,0,0,0,37,0,1
634,0,82,0.71,1,0,12,7,0.25,0,1,1,1,0,84,4,1
635,1,23,2.46,1,0,1,5,0.96,0,1,2,1,0,52,587,1
636,1,237,0.5,2,2,9,7,0.5,0,0,0,1,0,41,0,1
637,1,36,9.585,1,0,0,7,0.79,0,0,0,0,0,23,350,1
638,1,131,3.625,1,0,0,7,0.25,0,0,0,1,0,31,0,1
639,1,197,0.75,1,0,8,7,1.5,0,0,0,1,0,81,0,1
640,1,185,2.75,1,0,6,0,2.5,0,0,0,1,0,82,200,1
642,1,159,0.75,2,2,0,7,3.5,0,0,0,1,0,103,0,1
643,0,298,7.0,1,0,0,3,3.0,0,0,0,0,0,0,0,1
644,1,201,0.42,2,2,12,7,0.29,0,0,0,1,0,100,2,1
645,1,210,2.665,1,0,2,7,0.165,0,0,0,1,0,0,501,1
646,0,49,8.5,1,0,1,7,0.165,0,0,0,0,0,0,351,1
647,1,84,9.0,1,0,0,7,0.25,0,0,0,1,0,0,0,1
648,1,100,0.335,1,0,8,3,3.5,0,0,0,1,0,107,0,1
649,0,194,3.75,1,0,5,2,0.0,0,1,6,0,0,0,200,1
650,1,275,3.75,1,0,6,0,1.0,0,0,0,0,0,31,2,1
651,0,3,7.625,1,0,10,7,0.125,0,1,1,1,0,0,160,1
652,0,68,0.415,1,0,6,7,0.335,0,0,0,1,2,46,0,1
653,1,56,11.5,1,0,6,7,0.5,1,0,0,1,0,31,68,1
654,0,81,0.83,1,0,10,7,0.415,0,1,1,1,0,67,11,1
655,0,51,5.0,2,2,5,2,0.0,0,0,0,0,0,0,0,1
656,1,101,3.25,1,0,1,3,2.29,0,1,1,1,0,129,21,1
657,0,221,1.665,1,0,0,7,0.25,0,0,0,0,0,0,390,1
658,0,2,0.375,1,0,1,7,1.0,0,0,0,0,0,37,18,1
659,0,131,3.75,1,0,1,7,0.25,0,1,1,1,0,10,154,1
660,1,65,9.0,1,0,0,7,0.085,0,0,0,0,0,0,0,1
661,1,141,3.5,1,0,1,7,0.165,0,0,0,0,0,74,0,1
662,0,80,1.5,1,0,12,7,0.875,0,0,0,1,0,52,0,1
663,1,165,4.0,2,2,2,7,1.5,0,0,0,1,0,37,0,1
664,1,155,1.5,2,2,12,7,0.04,0,0,0,0,2,52,0,1
665,1,162,0.04,2,2,9,7,0.04,0,0,0,0,0,0,0,1
666,0,59,11.75,1,0,1,7,0.25,0,0,0,1,0,62,0,1
667,0,20,0.54,1,0,1,7,1.75,0,1,1,1,0,23,5,1
668,1,147,0.5,1,0,3,3,0.085,0,0,0,1,2,86,0,1
669,1,293,2.04,2,2,5,2,1.5,0,0,0,0,0,37,1,1
670,1,268,5.835,1,0,12,7,5.5,0,0,0,0,0,141,150,1
671,1,103,12.835,1,0,2,7,0.5,0,0,0,0,0,0,2,1
672,0,288,0.835,1,0,0,7,0.5,0,0,0,1,0,84,117,1
674,0,210,2.5,1,0,6,3,0.21,0,0,0,0,0,89,246,1
675,0,243,1.04,1,0,0,7,0.665,0,0,0,0,0,84,237,1
676,0,150,10.665,1,0,10,3,0.085,0,1,12,1,0,40,3,1
677,1,35,7.25,1,0,9,7,0.04,0,1,1,0,0,31,1,1
678,0,20,10.21,1,0,5,2,0.0,0,0,0,0,0,0,50,1
679,0,41,1.25,1,0,1,7,0.0,0,0,0,0,0,0,0,1
680,1,36,0.29,1,0,8,7,0.29,0,0,0,0,0,94,364,1
681,1,123,1.0,2,2,3,3,3.0,0,0,0,0,0,60,537,1
682,1,12,3.29,1,0,6,7,0.335,0,0,0,1,0,44,2,1
683,1,204,0.75,2,2,3,7,0.585,0,0,0,0,0,84,3,1
684,1,235,3.29,1,0,9,7,3.5,0,0,0,1,2,126,0,1
685,1,51,10.085,2,2,4,3,1.25,0,0,0,0,0,89,0,1
686,0,70,0.75,1,0,1,7,2.0,0,1,2,1,0,67,394,1
687,0,96,13.5,2,2,5,2,2.0,0,1,1,1,0,67,1,1
688,1,20,0.205,1,0,0,7,0.04,0,0,0,0,0,94,750,1
689,1,193,3.375,1,0,1,3,8.29,0,0,0,1,0,0,0,1
